Adult diabetes,Employment-based health insurance,Annual dental cleaning rate,Primary care provider rate,Routine checkup rate,Health care satisfaction rate,Eviction rate,Adult loneliness rate,Moderate or serious psychological distress rate,unmet mh trt mod to ser,unmet mh trt mod to ser,Hypertension rate,"Median household income, 2020-2024",Hardship Index,"Demographics, White",Ambulatory difficulty,population,diabetes ratio
1400.0,40.060291564711,63.862224126,86.544345806,70.181348804,54.104880938,0.4772074538889923,29.518570537,47.498866638,86.827917196,70.07533697,16.459520909,67121.40569175016,87.43699612968422,12.744558598226707,12.27716211,13492.19323,0.10376370810396406
6700.0,37.30974210218959,58.706893472,81.32610133,71.223288846,48.427364082,0.6366716616328932,33.572824835,54.56850303,76.631758159,67.03873257,31.235730119,64056.544290970305,84.52959529684746,6.718798640857131,16.11931596,43145.7122,0.15528773679624183
1500.0,51.173282449313184,70.366324561,75.634141391,82.1047563,59.041559583,0.43307254795397615,26.337184278,38.92715793,80.491043869,76.69086321,33.830006527,85030.15892961032,68.18511447406017,13.816545111939224,9.653750111,14856.23139,0.10096773270573028
6000.0,78.50376263873974,72.644598543,78.219370333,70.321148171,48.423944048,0.20530537439532812,29.314567158,54.464019264,64.738003442,49.42397689,19.942353749,121377.33495574856,4.649422723219442,73.09965218472234,3.514247969,102824.8287,0.05835166540860962
2300.0,54.26076690881987,63.58162827,78.823226014,69.929901981,39.487984475,0.24591372000837403,35.861190882,57.131432414,81.52492993,74.0718251,33.129765125,77773.97644318096,58.874462108684924,31.850353210810447,9.821581872,33542.92299,0.06856886028345498
4700.0,33.60978851437507,45.171489726,76.021672429,69.304365389,48.571513215,1.0738841114170117,31.754390162,48.899491737,75.145152601,56.74911357,24.538158966,57802.12297779982,86.88171534851527,8.217070995755853,10.47081147,39952.20609,0.11764056256148532
1900.0,56.23306144026651,60.957603157,74.369724809,79.939573227,50.630532237,0.25859150824298843,26.958243669,49.401028644,78.761953217,69.60169984,33.48025222,77751.55750530158,77.06944013418908,13.59523359493732,8.580859578,17758.84349,0.10698894897462718
8800.0,39.00794382785865,59.045920421,82.145838629,74.431578526,47.423898569,0.6979369248396536,34.873410639,52.370858413,89.722387032,83.6531168,35.165014801,62322.79043974873,89.96970597028124,3.6852366974057476,9.297420918,36010.47481,0.24437333988043575
3100.0,62.38402428700273,54.573587358,87.292241419,73.728822389,57.236048855,0.8298161521924656,29.236396243,42.047029472,74.511851647,71.06701588,37.865450729,80699.66444176168,56.874334322023174,30.15728341532397,12.76708498,23667.36789,0.13098203460596142
5800.0,43.64774683346578,62.661142055,84.941025823,84.027992762,57.565411987,0.6714146269470899,21.628986224,46.225306607,86.511367294,82.89118234,33.917857398,69578.52804161936,83.82045609652131,8.908328462683595,10.70539298,31827.03352,0.18223501717039697
6600.0,33.73613203098829,51.360015411,79.086509715,78.326391966,59.368649174,1.3796914520579948,35.388363084,53.417753642,72.915496266,78.30967694,37.379556665,54010.640858633924,87.55035998920116,3.1650753973350843,17.16198167,54300.34536,0.12154618826534845
5300.0,25.782173608221814,54.097582414,71.676108601,79.366748105,52.235640296,1.7374804562347839,37.492525458,45.886300993,87.510892661,83.56415782,38.666743404,41909.08573887645,91.89449168882683,0.6959498987361823,19.51564879,28311.7057,0.18720171988789783
3600.0,28.221948861969455,54.810820532,72.523407465,79.022091038,51.440460597,2.3068412994535654,38.253985506,55.073439803,94.011954412,82.78428365,37.103099434,32084.861861296926,93.08914302542058,1.005839722465768,20.93853097,23160.93952,0.15543410909092517
3600.0,32.81128719711328,49.172889807,82.382397702,83.388533576,67.036521539,2.267360592353568,25.301250735,32.790481246,82.432693678,62.35152743,37.501428271,42358.17755582547,87.60751709176671,1.702740718532116,14.96696922,29219.18401,0.12320672605942495
1800.0,81.04643841928171,84.373067104,86.915913367,85.150441474,59.044970715,0.2795519670180339,28.524189382,43.425081393,59.713905179,80.27847887,20.215178765,156895.9240216817,2.4769638144132857,76.78768215952336,6.363465212,67920.59158,0.02650153595732271
4800.0,51.67098469283414,61.274278331,80.918481708,67.260692824,52.772655026,1.2687439629687434,23.791825394,36.811321118,93.423644395,86.9645269,39.442682204,83932.28062293658,72.40126365087322,8.249467840909087,5.245639484,42179.8618,0.11379838138777401
7200.0,38.160854792101574,55.764449779,87.132915749,92.36447222,55.735837845,2.48871285063472,29.554873007,45.752432488,89.054151098,79.60243693,45.853974578,48296.85167320638,88.92902119240028,0.5248697236131189,20.13230388,43860.69939,0.16415606910366687
1000.0,72.53312413526602,75.023614122,94.152971573,87.148432538,52.127141979,0.49518279642214796,18.55844934,34.203645811,57.652527228,,36.933018042,130925.63311270237,32.22261182162868,57.04546529593645,5.507431997,19553.60888,0.05114145455894994
3000.0,48.583747556846134,60.24167329,80.531381602,80.883611103,63.553600146,1.3743465371552055,33.557345042,43.623010172,76.839135187,,42.790210572,64755.74300878484,70.85325518988292,1.4642415460705465,23.84364813,24755.829,0.12118358064276498
