Adult diabetes,Employment-based health insurance,Annual dental cleaning rate,Primary care provider rate,Routine checkup rate,Health care satisfaction rate,Eviction rate,Adult loneliness rate,Moderate or serious psychological distress rate,unmet mh trt mod to ser,unmet mh trt mod to ser.1,Hypertension rate,"Median household income, 2020-2024",Hardship Index,"Demographics, White",Ambulatory difficulty,population,diabetes ratio
3400.0,73.94622623712611,77.770936661,74.428788761,74.17315119,55.485580451,0.4121936047701666,31.159412802,47.938375174,66.935375723,66.53246756,22.684348187,125101.3268858388,3.402424707356466,66.26721526523627,5.07224857,99292.48607,0.0342422688218627
7100.0,38.297672122869685,58.910937596,80.762224523,82.672355089,57.043917319,0.9408706110988064,39.048213571,50.922066291,84.673327717,75.8758823,35.307010609,58409.067092820536,82.76737663005562,12.249828708563776,8.413746171,55766.95533,0.1273155394262762
2300.0,45.14597884990372,46.354508209,83.90114361,83.62289102,69.728533706,1.5877236394118708,36.450566767,40.207999443,80.530323709,60.31212281,29.730404591,60402.6353356295,74.92314380013363,10.275290669676531,5.923928919,21090.85064,0.1090520263624606
6100.0,38.46450501266779,58.242626078,89.041994278,79.809337217,49.640325403,1.8291075408486583,37.073677714,44.216712455,74.081934294,54.17980336,45.60474716,54361.768530578505,81.71987231186894,2.0331643723802038,18.57405142,36745.38199,0.166007255052079
1900.0,37.75646380437243,57.739329963,86.815496197,74.140283566,38.699175386,0.2063935248147385,37.635931448,55.030731708,85.627572869,68.26012328,32.559281027,45651.44933519941,87.71355007278783,13.57796305514789,15.31692461,13821.73562,0.1374646464262207
5400.0,60.69376503327735,68.190741037,86.206344179,82.876786733,55.684420298,0.4094663707704079,28.92707248,39.334997885,78.532118041,37.79117769,33.056576935,93530.6963911605,51.65655041893365,32.54426985317507,15.36687739,36657.21625,0.1473106949303604
2500.0,55.55596205074915,63.395954933,74.496752225,75.143678464,49.698895931,0.3207035247980545,30.757605395,56.69647463,74.760798287,29.81645327,28.233865636,76947.75654793243,66.07942865107157,21.653637517089425,10.23074601,33412.04159,0.0748233235992449
3600.0,32.81128719711328,49.172889807,82.382397702,83.388533576,67.036521539,2.267360592353568,25.301250735,32.790481246,82.432693678,62.35152743,37.501428271,42358.17755582547,87.60751709176671,1.702740718532116,14.96696922,29219.18401,0.1232067260594249
1000.0,72.53312413526602,75.023614122,94.152971573,87.148432538,52.127141979,0.4951827964221479,18.55844934,34.203645811,57.652527228,,36.933018042,130925.63311270236,32.22261182162868,57.04546529593645,5.507431997,19553.60888,0.0511414545589499
5800.0,43.3479443304057,57.314498665,84.438171962,76.28250627,52.57635158,0.6912194538682278,38.417917309,45.588217603,65.747149948,46.24019033,32.895389396,71334.90396562577,76.07165815255526,39.8762826089736,9.082755943,78390.30822,0.0739887382981385
2300.0,66.47071701281465,57.360159501,76.713559572,66.152012137,55.35207473,0.1746792055652372,26.596807522,37.520471239,67.345849406,,23.402393524,91363.09353886108,23.192702125306457,62.07865144107056,6.216416997,41565.11288,0.0553348671670923
2400.0,57.24575334472087,54.453341017,83.721877206,72.610679708,50.542418487,1.1813635370891145,41.907670292,51.338884114,89.533476683,90.34376006,45.979713093,72941.34692784907,60.570537494957776,28.305439984148617,5.696706877,21410.01294,0.1120970831136732
4800.0,51.67098469283414,61.274278331,80.918481708,67.260692824,52.772655026,1.2687439629687434,23.791825394,36.811321118,93.423644395,86.9645269,39.442682204,83932.28062293658,72.40126365087322,8.249467840909087,5.245639484,42179.8618,0.113798381387774
900.0,57.23497256566442,47.949894754,84.38968044,83.663773686,49.944711064,1.4434835816153522,27.415058664,38.107870577,88.679161789,71.76617289,39.546465223,60547.83129661174,65.86539945795128,0.0128143102505115,14.09912335,8939.367648,0.1006782622036309
700.0,35.73888845496997,33.188833503,77.109899682,76.007274292,52.499404931,0.575473618592184,42.935011764,45.140951325,82.281693118,95.66605134,41.938295395,22023.81053747795,96.8884611449431,3.365359213183144,33.86644138,2340.517806,0.2990791175378052
2800.0,32.29818180916809,51.248906828,78.428786368,89.991966327,56.533988498,1.0627672490983255,33.278235726,47.28897288,91.925789055,87.0720243,50.004429764,47962.69064449837,86.71758227037435,5.760420807964865,12.38317617,12875.86081,0.2174611889113765
1500.0,78.1030525960029,71.634976578,91.344598167,89.055223006,51.012827898,1.0846745711368444,16.888834137,47.220415866,72.487663429,49.2663455,49.918267754,112562.2842784358,26.431421481824238,82.07389391092664,17.38119779,19064.08435,0.0786819850595132
4600.0,70.98733677141776,71.976719837,88.486243956,87.643602191,52.042865074,0.4001325322955745,21.562906446,32.129379588,61.737621904,33.59452199,37.225356184,114149.65984845998,30.50422292942487,71.70275824355703,6.513854445,42638.43086,0.1078838950500722
6000.0,78.50376263873974,72.644598543,78.219370333,70.321148171,48.423944048,0.2053053743953281,29.314567158,54.464019264,64.738003442,49.42397689,19.942353749,121377.33495574856,4.649422723219442,73.09965218472234,3.514247969,102824.8287,0.0583516654086096
5500.0,31.60572777227328,54.003841648,89.788126357,88.809461049,62.702366849,2.1897913624721697,28.259126092,40.191500548,83.453246717,98.47973524,39.503613189,47668.100820325926,87.84718517115365,3.951261425296812,24.78510311,33979.92102,0.1618602938118306
3600.0,67.19229940966909,78.957565367,77.95192877,71.996947265,54.220839187,0.5610073506358747,27.000548355,35.173310279,55.338160313,47.30423416,27.840770422,97374.54676004624,30.91804574579658,55.98983052265246,2.676950433,26634.54233,0.1351628256042948
8500.0,40.26837872927695,59.737207706,71.832604219,70.629001393,48.583728894,0.5256745762343393,30.698417226,47.121833998,90.558343239,90.21595392,19.815571359,58666.08009178724,87.14971845215106,5.857043342927916,13.24481863,69830.03688,0.1217241230246934
2800.0,70.41383217425621,67.887545801,78.70489049,76.18556014,51.945995424,0.440881507008283,30.215843828,46.142755628,78.730016161,72.22960937,25.934483947,116881.23240702032,28.69022177702372,41.64264003879064,6.991910061,68097.6475,0.0411174262664506
5300.0,25.78217360822181,54.097582414,71.676108601,79.366748105,52.235640296,1.737480456234784,37.492525458,45.886300993,87.510892661,83.56415782,38.666743404,41909.08573887645,91.89449168882685,0.6959498987361823,19.51564879,28311.7057,0.1872017198878978
7300.0,60.35548221864707,62.140380571,85.021063927,73.42920743,47.73756766,0.4536827159049565,40.796290295,58.532311782,63.296500153,38.90889746,29.80974067,75774.40968629313,40.406504991495645,51.63149909473251,9.05314899,56573.00067,0.129036818156105
2900.0,68.6961061493943,68.783029341,76.037454609,65.9295662,48.542486759,0.2271449769564804,36.691001072,50.517383416,66.873937393,48.29505902,26.416264855,111832.89554093764,18.48488741807935,52.65145953693538,3.140103412,71426.58839,0.0406011271904176
1500.0,51.173282449313184,70.366324561,75.634141391,82.1047563,59.041559583,0.4330725479539761,26.337184278,38.92715793,80.491043869,76.69086321,33.830006527,85030.15892961032,68.18511447406017,13.816545111939224,9.653750111,14856.23139,0.1009677327057302
